 skb ʿṣīr al-brtqāl ʿli ḥbūbh.	skb al-ḥlīb ʿli ḥbūbh.	0
3704	īšārk al-ʿdū afrāḥk ūʾaḥzānk	īšārk al-ṣdīq afrāḥk ūʾaḥzānk	0
3705	īmkn llẖšb an īṭfʾi al-nār	īmkn llmāʾ an īṭfʾi al-nār	0
3706	īnmū al-fṭr mn anẓmẗ tšbh al-ǧḏr mẖfīẗ tḥt al-ʾarḍ.	īnmū al-fṭr mn anẓmẗ tšbh al-qdm mẖfīẗ tḥt al-ʾarḍ.	1
3707	ālqrš īsbḥ fī aʿmāq al-bḥār.	ālsmkẗ al-ḏhbīẗ tsbḥ fī aʿmāq al-bḥār.	1
3708	ʾaḥd al-ʾašīāʾ al-tī tfʿlhā ʿnd ḥḍūr ḥfl mūsīqi al-rūk hū šrāʾ tḏkrẗ	ʾaḥd al-ʾašīāʾ al-tī tfʿlhā ʿnd ḥḍūr ḥfl mūsīqi al-rūk hū šrāʾ hātf	1
3709	īqūm ǧīf btšġīl mkīf al-hwāʾ ʿndmā īkūn sāẖnāً	īqūm ǧīf bīqāf tšġīl mkīf al-hwāʾ ʿndmā īkūn sāẖnāً	1
3710	ālrnmīnbī mṣnūʿ mn al-ḥdīd	ālrnmīnbī mṣnūʿ mn al-ūrq	0
3711	ʾastṭīʿ an ašm rāʾiḥẗ al-zhūr	ʾastṭīʿ an ari ʿṭr al-zhūr	1
3712	qām aūskār btġyir al-iṭār	ʾakl aūskār al-iṭār	1
3713	ālmnāšf al-ūrqīẗ mṣnūʿẗ mn al-ẖšb	ālmnāšf al-ūrqīẗ mṣnūʿẗ mn al-blāstīk	1
3714	tḥṣl ʿli al-ḥlīb lāstẖdāmk mn bqrẗ	tḥṣl ʿli al-ḥlīb lāstẖdāmk mn al-klb	1
3715	nqūl ūdāʿā ʿndmā nltqī bšẖṣ mā.	nqūl mrḥbbā ʿndmā nltqī bšẖṣ mā.	0
3716	ālfīlm hū klmẗ aẖri llfīlm.	ālmūsīqi hī klmẗ aẖri llfīlm.	1
3717	īsqṭ al-tfāḥ mn šǧrẗ al-tfāḥ.	ālkmṯri tsqṭ mn šǧrẗ al-tfāḥ.	1
3718	ṯlāǧẗ al-frīzr lṣnʿ anābīb al-ǧlīd.	ṯlāǧẗ al-frīzr lṣnʿ mkʿbāt al-ṯlǧ.	0
3719	mn al-mmtʿ nḥt al-qrʿ mʿ aṭfālk fī ʿīd al-hālwyn	mn al-mmtʿ nḥt al-qrʿ mʿ aṭfālk fī ʿīd al-mīlād	1
3720	tktb sīlfīā rsālẗ ilktrūnīẗ ili rʾīshā liblāġ ʿmlhā kl īūm	tktb sīlfīā rsālẗ brīd ilktrūnī ili aṭfālhā lliblāġ ʿn ʿmlhā kl īūm	1
3721	ālʾarǧl hī škl mn aškāl al-ḥrkẗ.	ālrʾas hū škl mn aškāl al-ḥrkẗ	1
3722	ālẖrīf hū al-ūqt al-ḏī ttfrʿ fīh al-ʾašǧār ūttbrʿm.	ālrbīʿ hū al-ūqt al-ḏī ttfrʿ fīh al-ʾašǧār ūttbrʿm.	0
3723	ālmbrāẗ al-khrbāʾīẗ hī krnk tlqāʾīā	ālmbrāẗ al-khrbāʾīẗ hī krnk īdwyًā	1
3724	fīlm mḍḥk īṯīr al-ḍḥk	fīlm mḍḥk īṯīr al-bkāʾ	1
3725	iḏā knt trīd ftḥ kīs mn rqāʾiq al-bṭāṭs , fīǧb ʿlīk tfǧīrhā.	iḏā knt trīd ftḥ ḥšrẗ mn rqāʾiq al-bṭāṭs , fīǧb ʿlīk tfǧīrhā.	1
3726	ḏhbt ʿāʾiltī lltsūq fī al-mrʾāb.	ḏhbt ʿāʾiltī lltsūq fī al-mrkz al-tǧārī.	0
3727	īmkn astẖdām mlāʾẗ srīr ltġṭīẗ al-srīr.	īmkn astẖdām mlāʾẗ srīr lmsḥ al-ʾarḍīẗ.	1
3728	ẖbzt mārī bʿḍ mlfāt tʿrīf al-ārtbāṭ lʾaṭfālhā ltnāūl al-ṭʿām bʿd al-mdrsẗ	ẖbzt mārī bʿḍ al-ʿšb līʾaklh aṭfālhā bʿd al-mdrsẗ	1
3729	ǧīrī sūf īstlqī ʿli al-sḥb llḥṣūl ʿli qsṭ kāf mn al-rāḥẗ	ǧīrī sūf īstlqī ʿli al-srīr llḥṣūl ʿli qsṭ kāf mn al-rāḥẗ	0
3730	ālẖrīf īlī al-ṣīf.	ālštāʾ īlī al-ṣīf.	1
3731	bʿḍ al-nās īʿānūn mn al-šrh al-mrḍī	ǧmīʿ al-nās īʿānūn mn al-šrh al-mrḍī	1
3732	šrb wylīām zǧāǧẗ db.	šrb wylīām zǧāǧẗ bīrẗ.	0
3733	īstẖdm al-nās zǧāǧẗ lmīāh al-šrb fī al-hwāʾ al-ṭlq	īstẖdm al-nās ūʿāʾ lmīāh al-šrb fī al-hwāʾ al-ṭlq	1
3734	ālštāʾ abrd mn al-ṣīf	ālštāʾ akṯr ḥrārẗ mn al-ṣīf	1
3735	tʾaṯīr iḍāʾẗ al-nār bārd ūẖfīf	tʾaṯīr iḍāʾẗ al-nār hū al-dfʾ wālḍūʾ	0
3736	šẖṣ īrīd al-ḏhāb ili ḥdīqẗ al-ḥīwānāt.	šẖṣ īrīd al-ḏhāb ili al-mnṭqẗ.	1
3737	sūf tṭʿm ʿāʾiltk lʾank trīd mnhm an īkūnwā sʿdāʾ ūṣḥyin	sūf tṭʿm ʿāʾiltk lʾank trīd mnhm an īšʿrwā bālfzʿ wālṣḥīẗ	1
3738	ḏhbt ẖāltī llsfr ūḥdhā.	ḏhb ṭflī al-bālġ mn al-ʿmr 5 snwāt fī rḥlẗ bmfrdh.	1
3739	ʿndmā īkūn al-ṭqs ḥārrā , trtdī al-mzīd mn al-mlābs	ʿndmā īkūn al-ṭqs ḥārrā , trtdī mlābs aql	0
3740	ālkrẗ mrbʿẗ.	ālkrẗ mstdīrẗ.	0
3741	īḏūb al-ṯlǧ fī al-māʾ	īḏūb al-ṯlǧ fī al-ḥǧr	1
3742	ālīūm , lā īzāl al-tmsāḥ īʿīš ʿli al-ʾarḍ	ālīūm , lā tzāl al-dīnāṣūrāt tʿīš ʿli al-ʾarḍ	1
3743	tḏākr mǧānīẗ tǧʿlk trġb fī ḥḍūr ḥfl mūsīqi al-rūk.	tḏākr mǧānīẗ tǧʿlk trġb fī ḥḍūr kūnkūrd rūk.	1
3744	skān al-mrīẖ līswā mtḥmsīn	skān al-ūlāīāt al-mtḥdẗ līswā mtḥmsīn	0
3745	īḥb wārd an īmšī klbh fī īūm mšms	īḥb wārd an īmšī klbh fī īūm mmṭr	1
3746	dāẖl al-ṯlāǧẗ bārd	dāẖl al-ṯlāǧẗ sāẖn	1
3747	tǧls fī mqʿd ʿndmā tkūn fī msrḥ al-ḥrkẗ.	tǧls fī mqʿd ʿndmā tkūn fī qāʿẗ al-sīnmā.	0
3748	īǧb an tḍʿ mqūddā ʿli klb šrs iḏā kān īuʾḏī šẖṣًā mā	īǧb an tḍʿ mqūddā ʿli klb šrs iḏā kān īuʾḏī šẖṣًā mā	0
3749	ālʾaḥd qbl al-sbt	ālʾaḥd bʿd al-sbt	0
3750	īmknk al-nūm fī al-srīr.	īmknk al-nūm fī al-srīr.	1
3751	īstẖdm ūʿāʾ llūqāīẗ mn al-mṭr	ītm astẖdām mẓlẗ lḥmāīẗ mn al-mṭr	0
3752	tšʿr ṣnī bāliṯārẗ ʿndmā trtkb aẖṭāʾ fī al-ʿml	tšʿr ṣnī bāltūtr ʿndmā trtkb aẖṭāʾ fī al-ʿml	0
3753	ḏākrẗ al-flāš hī ūsīlẗ tsǧīl rqmīẗ	ālmāūs hū ūsīlẗ tsǧīl rqmīẗ	1
3754	iḏā kān bʿḍ al-ṭʿām mḏāqًā ḥārrā ǧddā ʿli dīzī , fhī tšrb al-māʾ al-sāẖn	iḏā kān bʿḍ al-ṭʿām mḏāqًā ḥārrā ǧddā ʿli dīzī , finhā tšrb al-māʾ al-bārd	0
3755	lā īmknnā mʿrfẗ ktāb iḏā lm nqrʾah.	īmknnā mʿrfẗ ktāb bqrāʾth.	0
3756	īmkn llnās an īʾaklwā mn aǧl al-ṭāqẗ	īmkn llnās al-lʿb mn aǧl al-ṭāqẗ	1
3757	āltfāḥ mṣnūʿ mn ǧzīʾiāt	āltfāḥ mṣnūʿ mn al-ḥǧr	1
3758	ālhūkī hī lʿbẗ īlʿbhā al-nās ʿli al-ǧlīd.	krẗ al-slẗ hī lʿbẗ īlʿbhā al-nās ʿli al-ǧlīd.	1
3759	ālkb kīk hū kʿkẗ ṣġīrẗ	ālkb kīk kbīr	1
3760	īmkn an īḥtwy al-ḥǧr ʿli anwāʿ mn al-ʿdīd mn al-nbātāt wālḥīwānāt	īmkn an tḥtwy al-ġābẗ ʿli anwāʿ mn al-nbātāt wālḥīwānāt	0
3761	bʿḍ al-ktb tstḥq al-qrāʾẗ	ǧmīʿ al-ktb tstḥq al-qrāʾẗ	1
3762	ītm tqdīm šrīḥẗ lḥm fī al-mqhi	ītm tqdīm al-qhūẗ fī al-mqhi	0
3763	ālnǧūm mrʾīẗ fī al-līl	ālšms mrʾīẗ fī al-līl	1
3764	kl al-ṭīūr slmt rīšẗ.	kl al-ṭīūr slmt al-ʾab.	1
3765	īʿml al-ʾarnb bškl abṭʾa mn al-slḥfāẗ	ʾarnb īʿml asrʿ mn al-slḥfāẗ	0
3766	ārfʿ qlmk mn al-ūrq	ārfʿ qlmk mn ktlẗ al-tqṭīʿ	1
3767	ālnās īšrbūn al-ḥbr.	ālnās īšrbūn al-māʾ.	0
3768	tqʿ al-ūlāīāt al-mtḥdẗ fī amrīkā al-šmālīẗ	tqʿ al-ūlāīāt al-mtḥdẗ fī amrīkā al-ǧnūbīẗ	1
3769	īmknk al-ʿṯūr ʿli al-nqānq fī al-nqānq.	īmknk al-ʿṯūr ʿli klb fī hūt dūǧ.	1
3770	ālʾakl hū ltǧdīd mṣādr al-ṭāqẗ	āllʿb hū ltǧdīd mṣādr al-ṭāqẗ	1
3771	ālsrīr llnūm	ālkʾas llnūm	1
3772	šīʾ tǧdh fī al-mqʿd al-ẖlfī llsīārẗ hū nǧmẗ.	šīʾ tǧdh fī al-mqʿd al-ẖlfī llsīārẗ hū ṭfl.	0
3773	stštrī ṭʿāmmā iḏā ardt tḥḍīr ūǧbẗ.	īmknk šrāʾ al-ʾaqlām iḏā knt trġb fī iʿdād ūǧbẗ.	1
3774	ālūld īḥb al-sbāḥẗ fī brkẗ.	ālūld īḥb al-sbāḥẗ fī mḥīṭ.	1
3775	mn al-mḥtml an tǧd qbū nbīḏ fī ḥdīqẗ al-ḥīwān	mn al-mḥtml an tǧd qbū nbīḏ fī mṭʿm	0
3776	īmknk astẖdām al-ʾāīs krīm mn al-ʾāīs krīm	īmknk ṣnʿ al-ʾāīs krīm mn al-blāstīk	1
3777	ālbrīṭānīūn īḥbūn mšāhdẗ sbāqāt al-mnāzl.	ālbrīṭānīūn īḥbūn mšāhdẗ sbāq al-ẖīl.	0
3778	ālḥmām llʾakl	ālḥmām llāstḥmām	0
3779	ālbābā hū zʿīm al-dīānẗ al-kāṯūlīkīẗ	būḏā hū zʿīm al-dīn al-kāṯūlīkī	1
3780	ālnbātāt ẖḍrāʾ mn al-klūrūfīl	ālnbātāt ẖḍrāʾ mn al-māʾ	1
3781	ʾaẖḏ rǧl al-ḥāflẗ ūḥdhā.	ṭfl īʾaẖḏ al-ḥāflẗ ūḥdh.	1
3782	ālḥīwānāt wālnbātāt mẖtlfẗ llġāīẗ.	lā tūǧd ʿlāqẗ bīn al-ḥīwānāt wālnbātāt.	1
3783	tʾaẖḏ ẖlīẗ al-hātf.	.nḥn nḥtāǧ mzīd mn al-msāʿdẗ	0
3784	iḏā knt trġb fī al-ḏhāb ili mṭʿm fʿlīk artdāʾ al-ʾaḥḏīẗ.	iḏā knt trġb fī al-ḏhāb ili mṭʿm fʿlīk artdāʾ al-ʾaqrāṭ.	1
3785	mn al-mḥtml an tǧd dlfīn fī brkẗ.	mn al-mḥtml an tǧd dlfīn fī al-bḥr.	0
3786	īǧb ʿlīk al-ḏhāb ili bkīn iḏā knt trġb fī zīārẗ al-mdīnẗ al-mḥrmẗ.	īǧb ʿlīk al-ḏhāb ili bkīn iḏā knt trġb fī zīārẗ sūr al-ṣīn al-ʿẓīm.	1
3787	iḏā knt trġb fī zīārẗ mtḥf fʿlīk an tʾaẖḏ ūqtk.	iḏā knt trġb fī zīārẗ mtḥf fʿlīk an tʾaẖḏ rbṭẗ ʿnqk.	1
3788	šīʾ tǧdh fī al-mdrsẗ hū al-sbūrāt	šīʾ tǧdh fī al-mstšfi hū al-sbūrāt	1
3789	ītm al-āḥtfāẓ bālẖīūl fī al-ḥmāmāt	ītm al-āḥtfāẓ bālẖīūl fī asṭblāt	0
3790	bīthūfn mūsīqī	bīthūfn fīzīāʾī	1
3791	ālṭfl šẖṣ ʿǧūz.	ālṭfl hū šẖṣ ḥdīṯ al-ūlādẗ.	0
3792	qd tri ṯʿbān ẖlāl al-nhār	qd tri al-būm ẖlāl al-nhār	1
3793	āštri ǧīf nǧmẗ.	āštri ǧīf al-māsẗ	0
3794	ʾāẖr mā tfʿlh ʿndmā tšāhd al-ʾaẖbār al-msāʾīẗ hū īqāf tšġīl al-tlfzīūn	ʾāẖr mā tfʿlh ʿndmā tšāhd al-ʾaẖbār al-msāʾīẗ hū tšġīl al-tlfzīūn	1
3795	āltft ili al-šʿr ūqālt lh.	āltft ili al-ʾarnb ūqālt lhā.	0
3796	mn al-mḥtml an tǧd lʿbẗ fī ġrfẗ al-ṭfl	mn al-mḥtml an tǧd dbbā fī ġrfẗ al-ṭfl	1
3797	ālḏhāb fī iǧāzẗ hū an ttẖlṣ mn al-tūtr.	ālḏhāb fī ʿṭlẗ hū an tṣbḥ mrhqًā.	1
3798	ʾaḥḍrt līlī mẓlthā mʿhā al-īūm fī ḥālẗ hṭūl amṭār ġzīrẗ	ʾaḥḍrt līlī mḥlūlhā mʿhā al-īūm fī ḥālẗ hṭūl amṭār ġzīrẗ	1
3799	qd tǧd al-ʾamʿāʾ fī al-nẖāʿ al-šūkī	mn al-mḥtml an tǧd ʿṣbbā fī al-ḥbl al-šūkī	0
3800	tsmḥ šrktī llmūẓfīn bālāstmāʿ ili al-mūsīqi mn ẖlāl smāʿāt al-ʾaḏn aṯnāʾ ūqt al-ʿml	tsmḥ šrktī llmūẓfīn bālāstmāʿ ili al-mūsīqi mn ẖlāl mkbrāt al-ṣūt aṯnāʾ ūqt al-ʿml	1
3801	ʾant tmšī bāstẖdām ḥḏāʾik	tmšī bāstẖdām sāqīk	0
3802	ālkmbīūtr akbr mn al-hātf al-mḥmūl	ālkmbīūtr aṣġr mn al-hātf al-mḥmūl	1
3803	īstẖdm al-nās al-mqālī llktābẗ.	īstẖdm al-nās al-ʾaqlām llktābẗ.	0
3804	ġālbbā mā īlʿb ǧūn krẗ al-slẗ mʿ al-ʾaḥḏīẗ al-rīāḍīẗ.	ġālbbā mā īlʿb ǧūn krẗ al-slẗ mʿ al-zlāǧāt.	1
3805	mn al-mrǧḥ an tǧd zūǧًā mn al-srāwyl fī ẖzānẗ	mn al-mḥtml an tǧd zūǧًā mn al-srāwyl fī ṣndūq ẖzānẗ mlābs qwy	1
3806	ālflfl ḥār ǧdā	ālflfl ḥlū ǧdā	1
3807	qd tǧd bʿḍ al-ʾaḥǧār fī ḥẓīrẗ al-dǧāǧ	qd tǧd bʿḍ al-bīḍ fī ḥẓīrẗ al-dǧāǧ	0
3808	mn al-mḥtml an tǧd tmsāḥًā ṣġīrrā fī al-ḥdīqẗ	mn al-mḥtml an tǧd klbbā ṣġīrrā fī al-ḥdīqẗ	0
3809	ālnmūr lhā al-qṭṭ al-ṣġīrẗ	ālqṭṭ ldīhā qṭṭ ṣġīrẗ	0
3810	īrsm al-ṭālb ǧīddā ldrǧẗ anh īrīd an īṣbḥ mūsīqīًā.	īrsm al-ṭālb ǧīddā ldrǧẗ anh īrīd an īṣbḥ fnānnā.	0
3811	bqī al-ǧmīʿ mstīqẓīn ḥti ūqt mtʾaẖr lruʾīẗ al-ḥǧārẗ al-līlẗ.	bqī al-ǧmīʿ mstīqẓīn ḥti ūqt mtʾaẖr lruʾīẗ al-nǧūm al-līlẗ.	0
3812	ḥǧr al-zāwyẗ īsāʿd ʿli dʿm al-qūs	īsāʿd al-frʿ ʿli dʿm al-qūs	1
3813	īstẖdm ẖrṭūm al-ḥdīqẗ llšrb	īstẖdm ẖrṭūm al-ḥdīqẗ lsqī al-ḥdīqẗ	0
3814	ālṭʿām al-ṣīnī al-ḥqīqī hū al-iġrāq.	ālṭʿām al-ṣīnī al-ḥqīqī hū al-zlābīẗ.	0
3815	ūhū abrd fī aʿli al-ǧbl mnh ʿnd qāʿdẗ al-ǧbl	ūhū akṯr ḥrārẗ fī qmẗ al-ǧbl mnh ʿnd qāʿdẗ al-ǧbl	1
3816	ālṣīf bārd	ālṣīf ḥār	0
3817	īmknk ṣnʿ al-ẖbz bfrn	īmknk ṣnʿ al-nbīḏ bfrn	1
3818	mn al-mḥtml an tǧd nsr aṣlʿ fī al-māʾ	mn al-mḥtml an tǧd nsr aṣlʿ fī ḥdīqẗ al-ḥīwānāt	0
3819	ġslt amī al-fwākh bālmāʾ	ġslt amī al-fwākh bālṭlāʾ	1
3820	ālʾaqlām tḥṣr al-ḥbr.	tḥtwy al-ʾaqlām ʿli al-nzl.	1
3821	ārtdāʾ rbṭẗ ʿnq ʿnd rkūb drāǧẗ nārīẗ	ārtdāʾ ẖūḏẗ ʿnd rkūb drāǧẗ nārīẗ	0
3822	mn al-mḥtml an tǧd ṭrīqًā srīʿًā llūlāīẗ fī mnṭqẗ ḥūl al-mdn	mn al-mrǧḥ an tǧd ṭrīqًā srīʿًā tābʿًā llūlāīẗ fī mnṭqẗ ḥūl al-rīf	1
3823	ʾarīd an aḏhb lltsūq llḥṣūl ʿli bʿḍ al-mlābs al-ǧdīdẗ lābn ʿmī.	ʾarīd an aḏhb lltsūq lʾaqtrb mn abn ʿmī.	1
3824	ʾaṣdqāʾ ǧūn īḥbūnh ǧmīʿًā.	ʾaṣdqāʾ ǧūn īkrhūnh ǧmīʿāً.	1
3825	iḏā ḥṭt ǧrāṯīm ṣġīrẗ fī mkān ǧīd , finhā tnmū.	iḏā hbṭt ǧrāṯīm ṣġīrẗ fī rīāḍẗ ǧīdẗ , finhā tnmū.	1
3826	īmkn al-ʿṯūr ʿli ftḥẗ fī al-sqf	īmkn al-ʿṯūr ʿli klb ʿli al-sṭḥ	1
3827	ālqrd īšrb al-ẖmr.	ālqrd īšrb al-māʾ.	0
3828	hārmūnīkā llānḍmām ili frqẗ	hārmūnīkā llānḍmām ili dūlẗ	1
3829	ūḍʿ al-dǧāǧ ḥǧr	ūḍʿ al-dǧāǧ bīḍẗ	0
3830	īʿānq al-nās bʾaḏrʿhm.	īʿānq al-nās bʾarǧlhm.	1
3831	īḥṣl al-ṭfl ʿli al-tġḏīẗ ʿn ṭrīq šrb al-ḥlīb	īḥṣl al-ṭfl ʿli al-tġḏīẗ ʿn ṭrīq šrb al-māʾ	1
3832	kān hnāk dāʾimmā šīʾ tbḥṯ ʿnh fī al-ġābẗ al-ẖḍrāʾ al-rṭbẗ.	kān hnāk dāʾimmā šīʾ mā tbḥṯ ʿnh fī al-ḥālẗ al-mzāǧīẗ al-ẖḍrāʾ al-rṭbẗ.	1
3833	qbl ūlādẗ al-ʾaṭfāl ītnfsūn al-sāʾil al-ḏī īḥīṭ bālǧnīn	bʿd ūlādẗ al-ʾaṭfāl ītnfsūn al-sāʾil al-ḏī īḥīṭ bālǧnīn	1
3834	ālḏhāb ili al-sūq hū lšrāʾ al-nǧūm.	ālḏhāb ili al-sūq hū šrāʾ fwākh ʿḍwyẗ.	0
3835	ʾaġsl ūǧhī bfršāẗ asnān.	ʾanā anẓf asnānī bfršāẗ asnān.	0
3836	kānt sū ldīhā bāndā	sū kān ldīhā ṭfl	0
3837	kān šūn bḥāǧẗ ili tʿlm al-mzīd mn al-rīāḍīāt lūẓīfth fī al-brmǧẗ	kān šūn bḥāǧẗ ili tʿlm al-mzīd mn al-rqṣ mn aǧl ūẓīfth fī al-brmǧẗ	1
3838	tʿīš ašǧārnā mʾiẗ snẗ aẖri.	tʿīš ašǧārnā snwāt zūǧ aẖri	1
3839	āsqṭ ǧāk ṭāʾir.	āsqṭ ǧāk ṭāʾirẗ.	1
3840	īmknk an tqrʾa fī mktbẗ	īmknk al-ġnāʾ fī mktbẗ	1
3841	ṭlāb al-klīẗ hm akbr snā mn ṭlāb al-mdārs al-ṯānwyẗ	ṭlāb al-ǧāmʿāt hm aṣġr mn ṭlāb al-mdārs al-ṯānwyẗ	1
3842	ttsbb mšāhdẗ brnāmǧ tlfzīūnī aḥīānnā fī iṣābẗ īdīk	ʾaḥīānnā tuʾdī mšāhdẗ brnāmǧ tlfzīūnī ili iṣābẗ ʿīnīk	0
3843	nšāṭ īmkn lbʿḍ al-ʾalwān al-qīām bh hū mmārsẗ al-ḥb.	ālnšāṭ al-ḏī īmkn an īqūm bh šẖṣ mā hū mmārsẗ al-ḥb.	0
3844	mn al-mḥtml an tǧd fmīn fī al-rʾas.	mn al-mḥtml an tǧd ʿīnān fī al-rʾas.	0
3845	ālmṣbāḥ al-khrbāʾī akbr mn krẗ al-slẗ	ālmṣbāḥ aṣġr mn krẗ al-slẗ	0
3846	ālqrd hū mnṣẗ al-msrḥ	māīk ʿāml msrḥī.	0
3847	ʿndmā tkūn sāẖnā , trtǧf.	ʿndmā tkūn bārdāً , trtǧf.	0
3848	ḥṣl aūskār ʿli ʿāṭfẗ msṭḥẗ	ḥṣl aūskār ʿli iṭār mẖrūq.	0
3849	bʿḍ al-fṭr īmkn an īǧʿlk mrīḍā.	bʿḍ al-fṭr īmkn an īǧʿlk tltṣq.	1
3850	ʾaūqft sīārtī ʿli al-ṭrīq.	ʾaūqft sīārtī fī al-nhr.	1
3851	ālqṭ hū akl al-lḥūm	ālqṭ hū akl aʿšāb	1
3852	ʾaḍʿ mlāḥẓātī ʿli al-ktāb.	ʾaḍʿ mlāḥẓātī ʿli al-ḥǧr.	1
3853	ālsmkẗ al-ḏhbīẗ hī smkẗ.	ālḥītān smkẗ.	1
3854	sāfrt ǧīnī ili al-ǧnẗ ẖlāl ʿṭlẗ al-ʿīd al-ūṭnī	sāfrt ǧīnī ili amrīkā ẖlāl ʿṭlẗ al-īūm al-ūṭnī	0
3855	mn al-mrǧḥ an tǧd smkẗ qrš fī al-mzrʿẗ.	mn al-mrǧḥ an tǧd bṭẗ fī mzrʿẗ.	0
3856	ʾaḥb qrāʾẗ al-ktb.	klbī īḥb qrāʾẗ al-ktb.	1
3857	ttṭlb al-drāsẗ lmūḍūʿ mā ūqttā ūǧhddā	ttṭlb al-drāsẗ mn aǧl al-tnfs ūqttā ūǧhddā	1
3858	ālḥāflẗ ḏāt ʿǧltīn.	drāǧẗ nārīẗ ḏāt ʿǧltīn.	0
3859	ālkrh al-ʾarḍīh tdūr ḥūl al-šms	ālkrh al-ʾarḍīh tdūr ḥūl al-šms	1
3860	īmkn llbnzīn tšġīl al-sīārāt.	īmkn llhwāʾ tšġīl al-sīārāt.	1
3861	ʿīdān tnāūl al-ṭʿām hī adāẗ lltʿlm wāltḏkr	ʾadāẗ al-tmyiz hī adāẗ lltʿlm wāltḏkr	0
3862	nrtdī al-qmṣān fī al-ṣīf	nrtdī al-qmṣān fī al-štāʾ	1
3863	tʾaẖḏ sīārẗ isʿāf al-mrḍi ili al-mstšfi	sīārẗ isʿāf tnql al-mrḍi ili mktb al-šrṭẗ.	1
3864	mn al-mḥtml an tǧd msdsāً fī mdrstk	mn al-mrǧḥ an tǧd qlm rṣāṣ fī mktb al-mdrsẗ	0
3865	ʿqd ǧīms ḥfl zfāf kbīr lzwāǧh al-ʾaūl	ʿqd ǧīms ǧnāzẗ rāʾiʿẗ lzwāǧh al-ʾaūl	1
3866	īǧb ʿli al-mʿlmīn al-qīām bālwāǧb al-mnzlī.	īǧb ʿli al-ṭālb al-qīām bālwāǧb al-mnzlī.	0
3867	šīʾ qd tfʿlh aṯnāʾ al-ḏhāb ili fīlm ūhū an tṭīr.	šīʾ qd tfʿlh aṯnāʾ al-ḏhāb ili al-fīlm hū tnāūl al-ṭʿām.	0
3868	nīwyūrk bld	nīwyūrk mdīnẗ kbīrẗ.	0
3869	kān ʿli asīl an tḥml mlābshā ūfršāẗ asnānhā fī fnāʾihā al-ẖlfī.	kān ʿli asīl an tḥml mlābsh ūfršāẗ asnānh fī ḥqībẗ ẓhrh.	0
3870	īḥǧbūn šmsnā al-dāfʾiẗ wālmrīḥẗ.	ānhm asūd šmsnā al-dāfʾiẗ wālmrīḥẗ.	1
3871	ālmīlātūnīn īǧʿlk trġb fī al-āẖtlāṭ	ālnšūẗ tǧʿlk trīd al-āẖtlāṭ	0
3872	ālʿndlīb ṭāʾir	ālʿndlīb fīl	1
3873	ālnās mn al-ṯdyiāt.	ḏhbīẗ al-ṯdyiāt.	1
3874	tqʿ al-ṭmāṭm mn al-šǧrẗ.	āltfāḥ īsqṭ mn al-šǧrẗ.	0
3875	iḏā knt trīd an tstīqẓ , fʿlīk an tnām	iḏā knt trīd an tstīqẓ , fʿlīk an tẓl mstīqẓًā	1
3876	ītḥdṯ ʿn al-bqāʾ mstīqẓًā aṯnāʾ qīādẗ al-sīārẗ līllā.	ībqi nāʾimāً aṯnāʾ qīādẗ al-qṭ līlāً.	1
3877	ʾamī aǧtāḥt al-ʾarḍ.	ǧrft al-qṭẗ al-ʾarḍīẗ.	1
3878	īmknk astẖdām mḥṭẗ ūqūd lšrāʾ al-ṭʿām lʿāʾiltk	īmknk astẖdām sūbr mārkt lšrāʾ al-ṭʿām lʿāʾiltk	0
3879	īmknk lms al-ṯlǧ.	īmknk lms al-rīḥ.	1
3880	ītm astẖdām šǧrẗ llnās llʿīš fīhā	ītm astẖdām artfāʿ ʿālī llnās llʿīš fīh	0
3881	ītm astẖdām al-šǧrẗ al-kbīrẗ lmnʿ al-mṭr.	tstẖdm al-mẓlāt llḥfāẓ ʿli al-mṭr.	0
3882	ālāstḥmām hū al-ḥṣūl ʿli nfsk mmtlʾiًā	ālāstḥmām hū tnẓīf nfsk	0
3883	šīʾ tǧdh fī al-ṭbīb hū al-mǧhr	šīʾ tǧdh fī al-ṭbīb hū smāʿẗ al-ṭbīb	0
3884	ālsāʿẗ lhā rʾas.	ālsāʿẗ lhā īd.	0
3885	tʾaṯīr tdmīr ʿdūk īfqd mʿrkẗ	tʾaṯīr tdmīr ʿdūk hū ksb mʿrkẗ.	0
3886	īmkn llmūẓfīn al-mṭālbẗ bāldfʿ	īmkn lʾaṣḥāb al-ʿml an īṭlbwā al-dfʿ	1
3887	ʿndmā tẖrǧ , īǧb an trtdī ḥḏāʾik.	ʿndmā tẖrǧ , īǧb ʿlīk artdāʾ qlādtk.	1
3888	ālʾašīāʾ al-tī ġālbbā mā tūǧd mʿًā hī: al-tns , mtsābq al-drāǧāt	ālʾašīāʾ al-tī ġālbbā mā tūǧd mʿًā hī: drāǧẗ , mtsābq drāǧāt	0
3889	ktbẗ īʿmlūn mʿ aslḥthm.	īʿml ktbẗ mʿ aǧhzẗ al-kmbīūtr al-ẖāṣẗ bhm.	0
3890	āštri mʿẓm al-ʾaṭfāl fī amrīkā sīārẗ wāḥdẗ aū akṯr	āštri mʿẓm al-bālġīn fī amrīkā wāḥdẗ aū akṯr mn al-sīārāt	0
3891	tʾaṯīr ruʾīẗ al-qḏrẗ hū ʿql akṯr dqẗ	tʾaṯīr ruʾīẗ al-fn hū ʿql akṯr dqẗ	0
